trade_date,trade_id,trade_status,trade_type,asset_type,asset_name,receiving_team,giving_team,origin_owner,roster_a,roster_b
2025-05-03,1224449044198203392,complete,2-team,pick,2027 Round 1,gnewman4,zachlearningtogolf,zachlearningtogolf,gnewman4,zachlearningtogolf
2025-05-01,1223771077000306688,complete,2-team,player,DeMario Douglas,jwalters74,tylerpilgrim,,jwalters74,tylerpilgrim
2025-05-01,1223771077000306688,complete,2-team,player,Quentin Johnston,tylerpilgrim,jwalters74,,jwalters74,tylerpilgrim
2025-05-01,1223711584585531392,complete,2-team,pick,2026 Round 4,mgaeta23,lndahayo,lndahayo,lndahayo,mgaeta23
2025-05-01,1223711584585531392,complete,2-team,pick,2025 Round 4,lndahayo,mgaeta23,mgaeta23,lndahayo,mgaeta23
2025-05-01,1223711584585531392,complete,2-team,faab,$22 FAAB,mgaeta23,lndahayo,,lndahayo,mgaeta23
2025-05-01,1223665024673783808,complete,2-team,pick,2025 Round 4,jakeduf,thekylecasey,thekylecasey,thekylecasey,jakeduf
2025-05-01,1223665024673783808,complete,2-team,pick,2026 Round 4,jakeduf,thekylecasey,thekylecasey,thekylecasey,jakeduf
2025-05-01,1223665024673783808,complete,2-team,pick,2025 Round 4,thekylecasey,jakeduf,zachlearningtogolf,thekylecasey,jakeduf
2025-05-01,1223664469255671808,complete,2-team,player,Will Shipley,cjsyregelas,donewton,,cjsyregelas,donewton
2025-05-01,1223664469255671808,complete,2-team,player,Justice Hill,cjsyregelas,donewton,,cjsyregelas,donewton
2025-05-01,1223664469255671808,complete,2-team,faab,$5 FAAB,donewton,cjsyregelas,,cjsyregelas,donewton
2025-05-01,1223663647079792640,complete,2-team,player,Zach Wilson,mgaeta23,donewton,,mgaeta23,donewton
2025-05-01,1223663647079792640,complete,2-team,faab,$1 FAAB,donewton,mgaeta23,,mgaeta23,donewton
2025-05-01,1223657978725400576,complete,2-team,pick,2025 Round 4,jwalters74,jakeduf,wkerwin,jwalters74,jakeduf
2025-05-01,1223657978725400576,complete,2-team,pick,2026 Round 3,jakeduf,jwalters74,donewton,jwalters74,jakeduf
2025-05-01,1223523595133657088,complete,2-team,player,Trey Benson,jwalters74,tylerpilgrim,,jwalters74,tylerpilgrim
2025-05-01,1223523595133657088,complete,2-team,player,Jerry Jeudy,tylerpilgrim,jwalters74,,jwalters74,tylerpilgrim
2025-05-01,1223523595133657088,complete,2-team,pick,2025 Round 4,tylerpilgrim,jwalters74,jwalters74,jwalters74,tylerpilgrim
2025-05-01,1223523595133657088,complete,2-team,pick,2026 Round 3,jwalters74,tylerpilgrim,tylerpilgrim,jwalters74,tylerpilgrim
2025-05-01,1223496024669028352,complete,2-team,player,Tyler Allgeier,gnewman4,tylerpilgrim,,gnewman4,tylerpilgrim
2025-05-01,1223496024669028352,complete,2-team,pick,2025 Round 3,tylerpilgrim,gnewman4,wkerwin,gnewman4,tylerpilgrim
2025-05-01,1223496024669028352,complete,2-team,pick,2025 Round 4,gnewman4,tylerpilgrim,tylerpilgrim,gnewman4,tylerpilgrim
2025-05-01,1223495018262581248,complete,2-team,player,Tucker Kraft,gnewman4,jwalters74,,gnewman4,jwalters74
2025-05-01,1223495018262581248,complete,2-team,pick,2025 Round 3,jwalters74,gnewman4,tylerpilgrim,gnewman4,jwalters74
2025-05-01,1223467807560183808,complete,2-team,player,Adonai Mitchell,jakeduf,zachlearningtogolf,,zachlearningtogolf,jakeduf
2025-05-01,1223467807560183808,complete,2-team,player,Tutu Atwell,jakeduf,zachlearningtogolf,,zachlearningtogolf,jakeduf
2025-05-01,1223467807560183808,complete,2-team,pick,2025 Round 2,zachlearningtogolf,jakeduf,jakeduf,zachlearningtogolf,jakeduf
2025-05-01,1223467807560183808,complete,2-team,pick,2025 Round 4,zachlearningtogolf,jakeduf,jakeduf,zachlearningtogolf,jakeduf
2025-05-01,1223467807560183808,complete,2-team,pick,2025 Round 4,jakeduf,zachlearningtogolf,zachlearningtogolf,zachlearningtogolf,jakeduf
2025-04-30,1223423845638090752,complete,2-team,pick,2025 Round 4,lndahayo,donewton,donewton,lndahayo,donewton
2025-04-30,1223423845638090752,complete,2-team,pick,2025 Round 2,lndahayo,donewton,thekylecasey,lndahayo,donewton
2025-04-30,1223423845638090752,complete,2-team,pick,2025 Round 2,donewton,lndahayo,cjsyregelas,lndahayo,donewton
2025-04-30,1223423845638090752,complete,2-team,pick,2025 Round 3,donewton,lndahayo,jwalters74,lndahayo,donewton
2025-04-30,1223400000990486528,complete,2-team,player,Jalen McMillan,donewton,zachlearningtogolf,,zachlearningtogolf,donewton
2025-04-30,1223400000990486528,complete,2-team,player,Jonnu Smith,donewton,zachlearningtogolf,,zachlearningtogolf,donewton
2025-04-30,1223400000990486528,complete,2-team,player,Noah Gray,zachlearningtogolf,donewton,,zachlearningtogolf,donewton
2025-04-30,1223400000990486528,complete,2-team,player,Khalil Shakir,donewton,zachlearningtogolf,,zachlearningtogolf,donewton
2025-04-30,1223400000990486528,complete,2-team,pick,2025 Round 2,zachlearningtogolf,donewton,jwalters74,zachlearningtogolf,donewton
2025-04-30,1223398803554451456,complete,2-team,pick,2025 Round 2,gnewman4,jwalters74,donewton,gnewman4,jwalters74
2025-04-30,1223398803554451456,complete,2-team,pick,2025 Round 3,jwalters74,gnewman4,gnewman4,gnewman4,jwalters74
2025-04-30,1223398803554451456,complete,2-team,pick,2025 Round 2,jwalters74,gnewman4,zachlearningtogolf,gnewman4,jwalters74
2025-04-30,1223398803554451456,complete,2-team,pick,2026 Round 2,gnewman4,jwalters74,jwalters74,gnewman4,jwalters74
2025-04-30,1223398803554451456,complete,2-team,pick,2025 Round 3,gnewman4,jwalters74,tylerpilgrim,gnewman4,jwalters74
2025-04-30,1223365523358621696,complete,2-team,pick,2025 Round 2,donewton,wkerwin,wkerwin,wkerwin,donewton
2025-04-30,1223365523358621696,complete,2-team,pick,2026 Round 1,wkerwin,donewton,donewton,wkerwin,donewton
2025-04-30,1223365523358621696,complete,2-team,pick,2025 Round 3,wkerwin,donewton,cjsyregelas,wkerwin,donewton
2025-04-29,1223059650442706944,complete,2-team,pick,2025 Round 1,donewton,wkerwin,wkerwin,wkerwin,donewton
2025-04-29,1223059650442706944,complete,2-team,pick,2025 Round 1,donewton,wkerwin,gnewman4,wkerwin,donewton
2025-04-29,1223059650442706944,complete,2-team,pick,2025 Round 1,wkerwin,donewton,thekylecasey,wkerwin,donewton
2025-04-29,1223059650442706944,complete,2-team,pick,2025 Round 1,wkerwin,donewton,zachlearningtogolf,wkerwin,donewton
2025-04-29,1223058419775193088,complete,2-team,player,Joe Mixon,mgaeta23,zachlearningtogolf,,zachlearningtogolf,mgaeta23
2025-04-29,1223058419775193088,complete,2-team,player,Deebo Samuel,mgaeta23,zachlearningtogolf,,zachlearningtogolf,mgaeta23
2025-04-29,1223058419775193088,complete,2-team,player,Tony Pollard,zachlearningtogolf,mgaeta23,,zachlearningtogolf,mgaeta23
2025-04-29,1223058419775193088,complete,2-team,player,Khalil Shakir,zachlearningtogolf,mgaeta23,,zachlearningtogolf,mgaeta23
2025-04-29,1223058419775193088,complete,2-team,pick,2025 Round 1,zachlearningtogolf,mgaeta23,donewton,zachlearningtogolf,mgaeta23
2025-04-29,1223058419775193088,complete,2-team,pick,2026 Round 1,mgaeta23,zachlearningtogolf,zachlearningtogolf,zachlearningtogolf,mgaeta23
2025-04-29,1223058419775193088,complete,2-team,pick,2026 Round 1,mgaeta23,zachlearningtogolf,jwalters74,zachlearningtogolf,mgaeta23
2025-04-29,1223003680916123648,complete,2-team,player,Ladd McConkey,jwalters74,donewton,,jwalters74,donewton
2025-04-29,1223003680916123648,complete,2-team,player,CeeDee Lamb,donewton,jwalters74,,jwalters74,donewton
2025-04-29,1223003680916123648,complete,2-team,pick,2025 Round 1,jwalters74,donewton,lndahayo,jwalters74,donewton
2025-04-29,1223003680916123648,complete,2-team,pick,2026 Round 3,jwalters74,donewton,donewton,jwalters74,donewton
2025-04-29,1223003680916123648,complete,2-team,pick,2025 Round 2,donewton,jwalters74,jwalters74,jwalters74,donewton
2025-04-29,1222779260813459456,complete,2-team,player,Ray Davis,zachlearningtogolf,jwalters74,,zachlearningtogolf,jwalters74
2025-04-29,1222779260813459456,complete,2-team,player,Geno Smith,zachlearningtogolf,jwalters74,,zachlearningtogolf,jwalters74
2025-04-29,1222779260813459456,complete,2-team,player,Christian McCaffrey,jwalters74,zachlearningtogolf,,zachlearningtogolf,jwalters74
2025-04-29,1222779260813459456,complete,2-team,player,Baker Mayfield,jwalters74,zachlearningtogolf,,zachlearningtogolf,jwalters74
2025-04-29,1222779260813459456,complete,2-team,player,J.K. Dobbins,jwalters74,zachlearningtogolf,,zachlearningtogolf,jwalters74
2025-04-29,1222779260813459456,complete,2-team,player,James Cook,zachlearningtogolf,jwalters74,,zachlearningtogolf,jwalters74
2025-04-29,1222779260813459456,complete,2-team,pick,2025 Round 2,jwalters74,zachlearningtogolf,donewton,zachlearningtogolf,jwalters74
2025-04-29,1222779260813459456,complete,2-team,pick,2025 Round 1,zachlearningtogolf,jwalters74,jwalters74,zachlearningtogolf,jwalters74
2025-04-28,1222706043209924608,complete,2-team,player,Courtland Sutton,donewton,thekylecasey,,thekylecasey,donewton
2025-04-28,1222706043209924608,complete,2-team,player,Tank Dell,thekylecasey,donewton,,thekylecasey,donewton
2025-04-28,1222706043209924608,complete,2-team,pick,2025 Round 2,donewton,thekylecasey,thekylecasey,thekylecasey,donewton
2025-04-28,1222706043209924608,complete,2-team,pick,2025 Round 3,donewton,thekylecasey,thekylecasey,thekylecasey,donewton
2025-04-28,1222706043209924608,complete,2-team,pick,2025 Round 1,thekylecasey,donewton,cjsyregelas,thekylecasey,donewton
2025-04-22,1220272163022438400,complete,2-team,player,Davante Adams,donewton,zachlearningtogolf,,zachlearningtogolf,donewton
2025-04-22,1220272163022438400,complete,2-team,player,Justin Fields,zachlearningtogolf,donewton,,zachlearningtogolf,donewton
2025-04-22,1220272163022438400,complete,2-team,player,Brenton Strange,zachlearningtogolf,donewton,,zachlearningtogolf,donewton
2025-04-22,1220272163022438400,complete,2-team,pick,2025 Round 2,zachlearningtogolf,donewton,donewton,zachlearningtogolf,donewton
2025-04-22,1220272163022438400,complete,2-team,pick,2025 Round 1,donewton,zachlearningtogolf,cjsyregelas,zachlearningtogolf,donewton
2025-04-22,1220272163022438400,complete,2-team,pick,2025 Round 3,donewton,zachlearningtogolf,cjsyregelas,zachlearningtogolf,donewton
2025-03-30,1211903239012765696,complete,2-team,pick,2025 Round 2,donewton,gnewman4,donewton,gnewman4,donewton
2025-03-30,1211903239012765696,complete,2-team,pick,2026 Round 2,gnewman4,donewton,donewton,gnewman4,donewton
2025-03-30,1211903239012765696,complete,2-team,pick,2027 Round 3,gnewman4,donewton,donewton,gnewman4,donewton
2025-03-24,1209959102013263872,complete,3-team,player,Rashee Rice,zachlearningtogolf,3-team,,3-team trade,
2025-03-24,1209959102013263872,complete,3-team,player,Rome Odunze,cjsyregelas,3-team,,3-team trade,
2025-03-24,1209959102013263872,complete,3-team,player,Adonai Mitchell,zachlearningtogolf,3-team,,3-team trade,
2025-03-24,1209959102013263872,complete,3-team,player,Calvin Ridley,zachlearningtogolf,3-team,,3-team trade,
2025-03-24,1209959102013263872,complete,3-team,player,Josh Jacobs,cjsyregelas,3-team,,3-team trade,
2025-03-24,1209959102013263872,complete,3-team,player,Amon-Ra St. Brown,lndahayo,3-team,,3-team trade,
2025-03-24,1209959102013263872,complete,3-team,player,Nico Collins,lndahayo,3-team,,3-team trade,
2025-03-24,1209959102013263872,complete,3-team,player,Drake London,zachlearningtogolf,3-team,,3-team trade,
2025-03-24,1209959102013263872,complete,3-team,player,C.J. Stroud,cjsyregelas,3-team,,3-team trade,
2025-03-24,1209959102013263872,complete,3-team,pick,2025 Round 1,zachlearningtogolf,3-team,cjsyregelas,3-team trade,
2025-03-24,1209959102013263872,complete,3-team,pick,2025 Round 2,lndahayo,3-team,cjsyregelas,3-team trade,
2025-03-24,1209959102013263872,complete,3-team,pick,2025 Round 3,zachlearningtogolf,3-team,cjsyregelas,3-team trade,
2025-03-24,1209959102013263872,complete,3-team,pick,2025 Round 4,zachlearningtogolf,3-team,cjsyregelas,3-team trade,
2025-03-24,1209959102013263872,complete,3-team,pick,2026 Round 2,lndahayo,3-team,cjsyregelas,3-team trade,
2025-03-24,1209959102013263872,complete,3-team,pick,2026 Round 1,zachlearningtogolf,3-team,jwalters74,3-team trade,
2025-03-24,1209959102013263872,complete,3-team,pick,2025 Round 2,cjsyregelas,3-team,tylerpilgrim,3-team trade,
2025-03-18,1207589817261490176,complete,2-team,player,Ray Davis,jwalters74,lndahayo,,lndahayo,jwalters74
2025-03-18,1207589817261490176,complete,2-team,player,James Cook,jwalters74,lndahayo,,lndahayo,jwalters74
2025-03-18,1207589817261490176,complete,2-team,player,Tucker Kraft,jwalters74,lndahayo,,lndahayo,jwalters74
2025-03-18,1207589817261490176,complete,2-team,player,Jaxon Smith-Njigba,lndahayo,jwalters74,,lndahayo,jwalters74
2025-03-18,1207589817261490176,complete,2-team,pick,2025 Round 1,jwalters74,lndahayo,jwalters74,lndahayo,jwalters74
2025-03-18,1207589817261490176,complete,2-team,pick,2026 Round 1,lndahayo,jwalters74,jwalters74,lndahayo,jwalters74
2025-03-18,1207589817261490176,complete,2-team,pick,2025 Round 2,lndahayo,jwalters74,tylerpilgrim,lndahayo,jwalters74
2025-03-14,1206314724464001024,complete,2-team,pick,2025 Round 1,donewton,gnewman4,lndahayo,gnewman4,donewton
2025-03-14,1206314724464001024,complete,2-team,pick,2025 Round 2,gnewman4,donewton,donewton,gnewman4,donewton
2025-03-14,1206314724464001024,complete,2-team,pick,2025 Round 2,gnewman4,donewton,zachlearningtogolf,gnewman4,donewton
